bnf_code,bnf_name,chemical,total_items,total_cost,number_of_practices,months_prescribed
0913011Y0BBAAAA,Altraplen Compact Protein Max liquid (4 flavours),"RtS  2.4 kcal/ml m/sk high volume, higher protein (0913011)",12,623.2576300000001,9,6
0913011V0AAADAD,Generic Fortisip Compact liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),11,260.76452,4,2
0913011I0BCAAAB,EnergieShake Advance 1.3kcal oral liquid (2 flavours),Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),8,196.49967000000004,6,7
0913011N0AAAGAG,Generic Fortisip Bottle,Ready to serve 1.5 kcal/ml milkshake (0913011),7,287.35109,7,5
0913011J0BCAAAI,EnergieShake dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),5,180.84963,4,2
0913011N0AAAFAF,Generic Aymes Complete liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),4,29.57504,1,1
0913011N0AAAIAI,Generic Altraplen Energy liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),4,13.03086,1,1
0913011V0BCAAAC,Ensure Compact_Liq (3 Flav),Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),3,22.42,1,1
0913011J0BFAJAC,Fresubin YOcreme dessert neutral,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),3,23.98164,2,2
0913011N0AAAAAA,Generic Ensure Plus milkshake style liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),3,74.75296,2,2
0913011J0AAAEAE,Generic Nutricrem dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),2,322.14657,2,2
0913011M0AAAAAA,Generic Fortijuce liquid,Ready to serve 1.5 kcal/ml juice style (0913011),2,119.16014000000001,2,1
0913011S0AAAEAE,Generic Fresubin 2kcal drink,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",2,75.74879,2,1
0913011V0AAACAC,Generic Ensure Compact liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),2,143.78293000000002,2,2
0913011S0AAACAC,Generic Ensure TwoCal liquid,"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",1,5.8324,1,1
0913011J0AAABAB,Generic Fresubin 2kcal Creme dessert,RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),1,30.76888,1,1
0913011N0AAAJAJ,Generic EnergieShake Complete 1.5kcal liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),1,31.29503,1,1
0913011M0AAAGAG,Generic Altrajuce liquid,Ready to serve 1.5 kcal/ml juice style (0913011),1,49.57719,1,1
0913011L0AAABAB,Generic Ensure Plus Fibre liquid,RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),1,64.0624,1,1
0913011V0AAAAAA,Generic Altraplen Compact liquid,Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),1,9.2255,1,1
0913011Q0AAABAB,Generic Fresubin YoDrink,Ready to serve 1.5 kcal/ml yoghurt style drink (0913011),1,1.78896,1,1
0913011M0AAAEAE,Generic Aymes ActaGain Juce liquid,Ready to serve 1.5 kcal/ml juice style (0913011),1,141.6433,1,1
0913011N0AAABAB,Generic Fresubin Energy liquid,Ready to serve 1.5 kcal/ml milkshake (0913011),1,39.025,1,1
