vmp_code,form_descr,bnf_code,atc_code
39695511000001104,powderinhalation.inhalation,0302000C0AAAEAE,R03BA01
39695611000001100,powderinhalation.inhalation,0302000C0AAAFAF,R03BA01
39695711000001109,powderinhalation.inhalation,0302000C0AAAIAI,R03BA01
3432911000001109,powderinhalation.inhalation,0302000K0AAARAR,R03BA02
3433011000001101,powderinhalation.inhalation,0302000K0AAASAS,R03BA02
35369511000001103,powderinhalation.inhalation,0302000C0AABLBL,R03AK13
39696311000001100,powderinhalation.inhalation,0302000C0AAAPAP,R03AK13
39712711000001109,powderinhalation.inhalation,0303010Q0AAADAD,R03BC01
12626211000001108,powderinhalation.inhalation,0301011E0AAAAAA,R03AC13
39709711000001100,powderinhalation.inhalation,0301011R0AAAVAV,R03AC02
39709811000001108,powderinhalation.inhalation,0301011R0AAAWAW,R03AC02
35916311000001106,powderinhalation.inhalation,0301011V0AABBBB,R03AC03
35912711000001106,powderinhalation.inhalation,0302000K0AAAHAH,R03BA02
39717411000001100,powderinhalation.inhalation,0301020I0AAAIAI,R03BB01
39717311000001107,powderinhalation.inhalation,0301020I0AAAHAH,R03BB01
39112911000001101,powderinhalation.inhalation,0301011E0AAABAB,R03AC13
39113011000001109,powderinhalation.inhalation,0301011E0AAACAC,R03AC13
35912011000001109,powderinhalation.inhalation,0302000K0AAALAL,R03AK07
38896811000001103,powderinhalation.inhalation,0302000K0AAAMAM,R03AK07
9479011000001103,powderinhalation.inhalation,0301020Q0AAAAAA,R03BB04
9478911000001107,powderinhalation.inhalation,0301020Q0AAABAB,R03BB04
39113211000001104,powderinhalation.inhalation,0301011U0AAAEAE,R03AC12
39113311000001107,powderinhalation.inhalation,0301011R0AAAQAQ,R03AC02
38895611000001107,powderinhalation.inhalation,0302000R0AAACAC,R03BA07
38895411000001109,powderinhalation.inhalation,0302000R0AAAAAA,R03BA07
4378111000001103,powderinhalation.inhalation,0302000K0AAAUAU,R03AK07
8024611000001102,powderinhalation.inhalation,0302000K0AAAVAV,R03BA02
9117811000001107,powderinhalation.inhalation,0302000K0AAAWAW,R03BA02
9207411000001106,powderinhalation.inhalation,0301011R0AABZBZ,R03AC02
13566211000001103,powderinhalation.inhalation,0301011R0AACBCB,R03AC02
13566111000001109,powderinhalation.inhalation,0301011R0AACCCC,R03AC02
17313811000001104,powderinhalation.inhalation,0301011X0AAABAB,R03AC18
17313711000001107,powderinhalation.inhalation,0301011X0AAAAAA,R03AC18
20515111000001102,powderinhalation.inhalation,0307000R0AAAAAA,R05CB16
38893611000001108,powderinhalation.inhalation,0301020R0AAAAAA,R03BB05
21496211000001102,powderinhalation.inhalation,0301020S0AAAAAA,R03BB06
23661311000001105,powderinhalation.inhalation,0302000V0AAAAAA,R03AK10
23661411000001103,powderinhalation.inhalation,0302000V0AAABAB,R03AK10
24645511000001105,powderinhalation.inhalation,0301040W0AAAAAA,R03AL03
26148711000001101,powderinhalation.inhalation,0302000C0AABYBY,R03AK08
27890611000001109,powderinhalation.inhalation,0301020T0AAAAAA,R03BB07
28049611000001104,powderinhalation.inhalation,0301040Y0AAAAAA,R03AL04
28365011000001100,powderinhalation.inhalation,0301040V0AAAAAA,R03AL05
31087511000001105,powderinhalation.inhalation,0302000C0AACACA,R03AK08
33596311000001107,powderinhalation.inhalation,0301020Q0AAADAD,R03BB04
34955111000001103,powderinhalation.inhalation,0302000Z0AAAAAA,R03AL08
39116511000001109,powderinhalation.inhalation,0302000X0AAAAAA,R03AK14
39116311000001103,powderinhalation.inhalation,0302000X0AAABAB,R03AK14
39116411000001105,powderinhalation.inhalation,0302000X0AAACAC,R03AK14
39134511000001107,powderinhalation.inhalation,0302000W0AAAAAA,n/a
40087411000001104,powderinhalation.inhalation,0302000AAAAACAC,R03AL09
40455811000001109,powderinhalation.inhalation,0302000N0AABSBS,R03AK06
40455711000001101,powderinhalation.inhalation,0302000N0AABRBR,R03AK06
12197411000001102,inhalationsolution.inhalation,0301020Q0AAACAC,R03BB04
24670111000001108,inhalationsolution.inhalation,0301011Z0AAAAAA,R03AC19
29987211000001108,inhalationsolution.inhalation,0301040X0AAAAAA,R03AL06
37692711000001105,inhalationsolution.inhalation,0301020Q0AAAEAE,R03BB04
37692511000001100,inhalationsolution.inhalation,0301040X0AAABAB,R03AL06
37692311000001106,inhalationsolution.inhalation,0301011Z0AAABAB,R03AC19
