HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,first_period,last_period,n_active_months
TAJ00,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,202308,202509,26
RR100,HEART OF ENGLAND NHS FOUNDATION TRUST,201612,201812,25
RM200,UNI HPL S.MANCHESTER FOUNDATION TRUST,201701,201807,19
RYX00,CENTRAL LONDON COMMUNITY HC NHS TRUST,201706,202109,19
RX600,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,202212,202504,18
TAD00,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,202404,202509,18
TAH00,SHEFFIELD HEALTH AND SOCIAL CARE NHS FOUNDATION TRUST,202404,202509,18
RYG00,COVENTRY & WARWICKSHIRE P/SHIP NHS TRUST,201803,202509,17
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,202411,202509,11
RWN00,SOUTH ESSEX P/SHIP UNIV NHS FOUND TRUST,201612,201709,10
RRD00,N ESSEX PARTNERSHIP UNIVERSITY NHS FT,201612,201709,9
RYF00,SOUTH WESTERN AMBULANCE SERVICE NHS FT,201805,202011,8
RM400,TRAFFORD HEALTHCARE NHS TRUST,201701,201706,6
RY100,LIVERPOOL COMMUNITY HEALTH NHS TRUST,201701,201910,6
RX800,YORKSHIRE AMBULANCE SERVICE NHS TRUST,201909,202408,5
RYD00,SOUTH EAST COAST AMBULANCE SERVICE NHSFT,202102,202306,5
RYA00,WEST MIDLANDS AMBULANCE SERVICE NHS FT,201909,202004,2
RBV00,THE CHRISTIE NHS FOUNDATION TRUST,202107,202107,1
RRU00,LONDON AMBULANCE SERVICE NHS TRUST,202212,202212,1
