HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,product_code,product,chapter,total_items,total_cost
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,22952,40020.060777950486
RXK00,SANDWELL AND WEST BIRMINGHAM HPLS TRUST,1104010I0BH,Dexafree,Eye,22784,727351.735012471
RH500,SOMERSET NHS FOUNDATION TRUST,0402010ABAA,Quetiapine,Central Nervous System,12618,164136.9692791451
RH500,SOMERSET NHS FOUNDATION TRUST,0403030Q0AA,Sertraline hydrochloride,Central Nervous System,11685,58535.75964108667
RH500,SOMERSET NHS FOUNDATION TRUST,0401020K0AA,Diazepam,Central Nervous System,9080,8349.613945917328
RH500,SOMERSET NHS FOUNDATION TRUST,040201060AA,Olanzapine,Central Nervous System,7347,34082.999777231744
RH500,SOMERSET NHS FOUNDATION TRUST,0401010Z0AA,Zopiclone,Central Nervous System,6974,4475.551503014838
RH500,SOMERSET NHS FOUNDATION TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,6899,31212.939513618272
RH500,SOMERSET NHS FOUNDATION TRUST,0403030E0AA,Fluoxetine hydrochloride,Central Nervous System,6551,33827.29517981396
RH500,SOMERSET NHS FOUNDATION TRUST,0402010ADAA,Aripiprazole,Central Nervous System,5908,74447.89491696822
RH500,SOMERSET NHS FOUNDATION TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,5750,24096.14014536156
RH500,SOMERSET NHS FOUNDATION TRUST,0403040X0AA,Mirtazapine,Central Nervous System,5473,10296.88929699413
RH500,SOMERSET NHS FOUNDATION TRUST,0411000G0AA,Memantine hydrochloride (Dementia),Central Nervous System,5416,72334.66949060553
RH500,SOMERSET NHS FOUNDATION TRUST,040201030AA,Risperidone (Systemic),Central Nervous System,5347,60646.47243134968
RH500,SOMERSET NHS FOUNDATION TRUST,0403040W0AA,Venlafaxine,Central Nervous System,4645,38204.11910778389
RH500,SOMERSET NHS FOUNDATION TRUST,0408010AEAA,Pregabalin,Central Nervous System,4364,45438.12086059566
RH500,SOMERSET NHS FOUNDATION TRUST,0404000M0AA,Methylphenidate hydrochloride,Central Nervous System,4333,123227.14003460441
RH500,SOMERSET NHS FOUNDATION TRUST,0401020P0AA,Lorazepam,Central Nervous System,4091,44265.79292832626
RH500,SOMERSET NHS FOUNDATION TRUST,0401010ADAA,Melatonin,Central Nervous System,4057,271844.66839223396
RH500,SOMERSET NHS FOUNDATION TRUST,0304010W0AA,Promethazine hydrochloride (Systemic),Respiratory System,4045,28074.600154415566
RH500,SOMERSET NHS FOUNDATION TRUST,0408010H0AA,Lamotrigine,Central Nervous System,3880,9087.410684768316
RH500,SOMERSET NHS FOUNDATION TRUST,0411000D0AA,Donepezil hydrochloride,Central Nervous System,3231,5021.208693077329
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,5217,19712.73953724508
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,4797,25971.255462514804
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501013B0AA,Amoxicillin,Infections,4543,8906.941188356397
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,130201000BB,Proprietary compound emollients,Skin,3954,24935.173906265052
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0209000C0AA,Clopidogrel,Cardiovascular System,3450,4822.433611411729
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501012G0AA,Flucloxacillin sodium,Infections,3450,17215.487055810994
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,,,,3270,103016.172193661
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0212000B0AA,Atorvastatin,Cardiovascular System,3174,4476.498224542759
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0702010G0BC,Vagifem,"Obstetrics, Gynaecology and Urinary-Tract Disorders",3063,67472.74427716786
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,3053,85626.39317730474
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,1304000G0BB,Dermovate,Skin,2950,17274.918247968308
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0106040M0BB,Movicol,Gastro-Intestinal System,2828,22991.22482803477
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501080W0AA,Trimethoprim,Infections,2718,6532.49272615656
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,2505,9026.868502167943
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,2496,5290.981411779141
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501130R0AA,Nitrofurantoin,Infections,2447,44832.407041811624
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,2381,2377.599471933342
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,1308010Y0BB,Efudix (Sunscreen),Skin,2208,68020.20543293042
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0501120L0AA,Ciprofloxacin (Systemic),Infections,2104,11556.377644201188
RL400,THE ROYAL WOLVERHAMPTON NHS TRUST,0601022B0AA,Metformin hydrochloride,Endocrine System,2094,12420.405750198513
Y999666,UNIDENTIFIED TRUST,0501013B0AA,Amoxicillin,Infections,1197,1842.534924007624
Y999666,UNIDENTIFIED TRUST,0410030C0AA,Methadone hydrochloride (Drug Dependence),Central Nervous System,1132,6958.290771722968
Y999666,UNIDENTIFIED TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,1120,3620.4230553926236
Y999666,UNIDENTIFIED TRUST,0501012G0AA,Flucloxacillin sodium,Infections,1112,4519.6567516324485
Y999666,UNIDENTIFIED TRUST,0501013K0AA,Co-amoxiclav,Infections,972,2689.901217860118
Y999666,UNIDENTIFIED TRUST,0407010F0AA,Co-codamol,Central Nervous System,872,2026.688375016262
Y999666,UNIDENTIFIED TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,766,5342.426423312922
Y999666,UNIDENTIFIED TRUST,1001010P0AA,Naproxen,Musculoskeletal and Joint Diseases,676,1803.6197480194655
Y999666,UNIDENTIFIED TRUST,0401020K0AA,Diazepam,Central Nervous System,668,1787.2307555473114
Y999666,UNIDENTIFIED TRUST,0402010ABAA,Quetiapine,Central Nervous System,631,7826.477875718519
Y999666,UNIDENTIFIED TRUST,,,,603,18854.17203536687
Y999666,UNIDENTIFIED TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,581,817.775167927577
Y999666,UNIDENTIFIED TRUST,0410030A0AA,Buprenorphine (Opioid Dependance),Central Nervous System,513,5392.056386523796
Y999666,UNIDENTIFIED TRUST,0501050B0AA,Clarithromycin,Infections,491,1884.5366020833458
Y999666,UNIDENTIFIED TRUST,0403030Q0AA,Sertraline hydrochloride,Central Nervous System,488,4087.190343973721
Y999666,UNIDENTIFIED TRUST,0501011P0AA,Phenoxymethylpenicillin (Penicillin V),Infections,468,3142.528208820363
Y999666,UNIDENTIFIED TRUST,0501130R0AA,Nitrofurantoin,Infections,455,6468.762854703765
Y999666,UNIDENTIFIED TRUST,0901020G0AA,Folic acid,Nutrition and Blood,453,531.8603184929206
Y999666,UNIDENTIFIED TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,438,1137.1965639470343
Y999666,UNIDENTIFIED TRUST,0401010ADAA,Melatonin,Central Nervous System,427,22959.999694640475
RBK00,WALSALL HEALTHCARE NHS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,7054,7355.921707189477
RBK00,WALSALL HEALTHCARE NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,6711,37461.26034714561
RBK00,WALSALL HEALTHCARE NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,6631,27340.190008143938
RBK00,WALSALL HEALTHCARE NHS TRUST,0601023AWBB,Ozempic,Endocrine System,6092,966086.3935928256
RBK00,WALSALL HEALTHCARE NHS TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,5895,115098.79784974045
RBK00,WALSALL HEALTHCARE NHS TRUST,0501012G0AA,Flucloxacillin sodium,Infections,4569,28487.32082541968
RBK00,WALSALL HEALTHCARE NHS TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,4492,3438.0167636320975
RBK00,WALSALL HEALTHCARE NHS TRUST,130201000BB,Proprietary compound emollients,Skin,4208,25496.497218237328
RBK00,WALSALL HEALTHCARE NHS TRUST,,,,4143,136508.91401406817
RBK00,WALSALL HEALTHCARE NHS TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,4080,35156.320212253806
RBK00,WALSALL HEALTHCARE NHS TRUST,0103050L0AA,Lansoprazole,Gastro-Intestinal System,4047,11074.866545040326
RBK00,WALSALL HEALTHCARE NHS TRUST,0501013B0AA,Amoxicillin,Infections,4042,8098.397697746901
RBK00,WALSALL HEALTHCARE NHS TRUST,0501021L0AA,Cefalexin,Infections,3702,9173.391447218302
RBK00,WALSALL HEALTHCARE NHS TRUST,1304000G0BB,Dermovate,Skin,3461,24341.813156199096
RBK00,WALSALL HEALTHCARE NHS TRUST,0407010F0AA,Co-codamol,Central Nervous System,3363,12374.429948115889
RBK00,WALSALL HEALTHCARE NHS TRUST,1304000Y0BB,Elocon,Skin,3153,33140.62356250825
RBK00,WALSALL HEALTHCARE NHS TRUST,0202020L0AA,Furosemide,Cardiovascular System,2898,3494.0159472123614
RBK00,WALSALL HEALTHCARE NHS TRUST,0501110C0AA,Metronidazole (Systemic),Infections,2718,16618.62210190089
RBK00,WALSALL HEALTHCARE NHS TRUST,0212000B0AA,Atorvastatin,Cardiovascular System,2569,3332.7820185186433
RBK00,WALSALL HEALTHCARE NHS TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,2445,3642.795535294341
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,11266,53657.297643766884
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,9926,41255.541657449816
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,7325,29305.471557783898
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,130201000BB,Proprietary compound emollients,Skin,6640,48079.652138658195
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,6230,9261.844732775691
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1104010I0BB,Maxidex,Eye,5836,11057.337085598141
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1001030U0AA,Methotrexate (Rheumatism),Musculoskeletal and Joint Diseases,5310,45651.47752245777
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0204000H0AA,Bisoprolol fumarate,Cardiovascular System,4850,3680.0422805908934
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1304000Y0AA,Mometasone furoate (Topical),Skin,4831,41829.24140122338
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1308010Y0BB,Efudix (Sunscreen),Skin,3976,123651.77315884213
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0209000C0AA,Clopidogrel,Cardiovascular System,3947,5943.708790691649
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0501120L0AA,Ciprofloxacin (Systemic),Infections,3924,18827.692188129535
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0501012G0AA,Flucloxacillin sodium,Infections,3623,16182.274490340149
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,3507,14720.569210858612
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1304000H0BB,Eumovate (Topical),Skin,3368,8575.673455726319
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0407010F0AA,Co-codamol,Central Nervous System,3193,8779.256297544152
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0501110C0AA,Metronidazole (Systemic),Infections,3192,20295.273633461267
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1304000G0BB,Dermovate,Skin,3117,20440.153814712095
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,0209000A0AA,Aspirin (Antiplatelet),Cardiovascular System,3112,4211.449151403901
RWG00,WEST HERTFORDSHIRE HOSPITALS NHS TRUST,1202010M0BB,Flixonase,"Ear, Nose and Oropharynx",3061,62348.32582254487
RLQ00,WYE VALLEY NHS TRUST,1103010C0AA,Chloramphenicol (Eye),Eye,8999,35794.986830360736
RLQ00,WYE VALLEY NHS TRUST,0603020T0AA,Prednisolone (Systemic),Endocrine System,7286,31416.903535779587
RLQ00,WYE VALLEY NHS TRUST,0501013K0AA,Co-amoxiclav,Infections,7223,25037.510704245342
RLQ00,WYE VALLEY NHS TRUST,0103050P0AA,Omeprazole,Gastro-Intestinal System,5742,59965.26047266834
RLQ00,WYE VALLEY NHS TRUST,21300000182,Thealoz Duo eye drops preservative free,Appliances,3722,56527.6653493855
RLQ00,WYE VALLEY NHS TRUST,0407010F0AA,Co-codamol,Central Nervous System,3695,10433.880149232511
RLQ00,WYE VALLEY NHS TRUST,0501012G0AA,Flucloxacillin sodium,Infections,3688,12435.57652249142
RLQ00,WYE VALLEY NHS TRUST,0501030I0AA,Doxycycline hyclate (Antibacterial),Infections,3677,13061.383073731029
RLQ00,WYE VALLEY NHS TRUST,0501013B0AA,Amoxicillin,Infections,3095,8048.352890381984
RLQ00,WYE VALLEY NHS TRUST,110802070BB,Acular,Eye,2915,11442.764779892997
RLQ00,WYE VALLEY NHS TRUST,0407020C0AA,Codeine phosphate (Analgesic),Central Nervous System,2880,5262.3174620349255
RLQ00,WYE VALLEY NHS TRUST,1104010I0BB,Maxidex,Eye,2811,5938.081086201142
RLQ00,WYE VALLEY NHS TRUST,1104010R0BB,Pred Forte,Eye,2721,8949.972141372733
RLQ00,WYE VALLEY NHS TRUST,1306020J0AA,Isotretinoin (Systemic),Skin,2711,91120.05644330659
RLQ00,WYE VALLEY NHS TRUST,1106000L0BC,Monopost,Eye,2691,54366.60474983198
RLQ00,WYE VALLEY NHS TRUST,21300000111,Hylo-Forte 0.2% eye drops preservative free,Appliances,2580,33432.700942812524
RLQ00,WYE VALLEY NHS TRUST,0901020G0AA,Folic acid,Nutrition and Blood,2494,2207.605894786825
RLQ00,WYE VALLEY NHS TRUST,0407020Q0AA,Morphine sulfate,Central Nervous System,2373,9527.941636132111
RLQ00,WYE VALLEY NHS TRUST,1105000E0AA,Cyclopentolate hydrochloride,Eye,2368,19303.006619051925
RLQ00,WYE VALLEY NHS TRUST,1106000L0AA,Latanoprost,Eye,2182,15496.767765438002
