HOSPITAL_TRUST_CODE,HOSPITAL_TRUST,unique_products
RM200,UNI HPL S.MANCHESTER FOUNDATION TRUST,96
RVY00,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,94
RMK00,MANCHESTER MH & SOCIAL CARE TRUST,92
RRJ00,ROYAL ORTHOPAEDIC HSP FOUNDATION TRUST,92
RET00,THE WALTON CENTRE NHS FOUNDATION TRUST,85
RCE00,BRADFORD DISTRICT CARE NHS YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,75
RNK00,TAVISTOCK & PORTMAN NHS FOUNDATION TRUST,71
RQ400,BLACK COUNTRY HEALTHCARE NHS YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,69
RNK00,TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST,69
RAN00,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,68
RYG00,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,64
RGM00,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,63
RDZ00,THE ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,46
R1A00,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH & CARE NHS TRUST,42
RYX00,CENTRAL LONDON COMMUNITY HC NHS TRUST,39
RY700,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,37
RBZ00,NORTHERN DEVON HEALTHCARE NHS TRUST,34
RYF00,SOUTH WESTERN AMBULANCE SERVICE NHS FT,32
RMK00,MANCHESTER MENTAL HEALTH AND SOCIAL CARE TRUST,26
RY200,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,24
RTV00,NORTH WEST BOROUGHS HEALTHCARE NHS FOUNDATION TRUST,21
RRJ00,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,21
RY100,LIVERPOOL COMMUNITY HEALTH NHS TRUST,19
RYD00,SOUTH EAST COAST AMBULANCE SERVICE NHSFT,16
RRD00,N ESSEX PARTNERSHIP UNIVERSITY NHS FT,14
RX800,YORKSHIRE AMBULANCE SERVICE NHS TRUST,14
RY300,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,12
R1A00,HEREFORDSHIRE&WORCESTERSHIRE H&C NHS T,9
RYG00,COVENTRY & WARWICKSHIRE P/SHIP NHS TRUST,6
RM400,TRAFFORD HEALTHCARE NHS TRUST,5
RYA00,WEST MIDLANDS AMBULANCE SERVICE NHS FT,2
RBV00,THE CHRISTIE NHS FOUNDATION TRUST,1
RRU00,LONDON AMBULANCE SERVICE NHS TRUST,1
RYD00,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,1
